,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positivityRate,datetime
33,20200912,NH,7652.0,221372.0,,6.0,721.0,,228.0,,,6920.0,B,9/11/2020 09:00,2020-09-11T09:00:00Z,09/11 05:00,435.0,721.0,2020-09-11T09:00:00Z,369691.0,,,7652.0,,,,229024.0,31079.0,,,30329.0,,,,,,,33,32,1701,229024,posNeg,229024.0,1733,229024,1,1,38bf6663e42da4a88f8fc0b633640de56510c083,0,0,0,0,0,,0.03341134553583904,2020-09-12
34,20200912,NJ,196337.0,2944898.0,,462.0,22950.0,84.0,,35.0,,34397.0,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,16027.0,22950.0,2020-09-12T00:00:00Z,3140786.0,,,196337.0,14238.0,1789.0,,,,,,,,,,,,,34,449,0,3141235,posNeg,3141235.0,449,3141235,4,32,b102a5f1af725d0713f2c356c6a5c065f5388459,0,0,0,0,0,,0.06250312377138291,2020-09-12
35,20200912,NM,26563.0,785487.0,,73.0,3247.0,,,,,14276.0,B,9/11/2020 17:50,2020-09-11T17:50:00Z,09/11 13:50,818.0,3247.0,2020-09-11T17:50:00Z,,,,26563.0,,,,812050.0,,,,,,,,,,,35,134,4917,812050,posNeg,812050.0,5051,812050,2,9,7da166ff4c1c4a41836d4b1c6b50b967d77ea9fd,0,0,0,0,0,,0.03271103996059356,2020-09-12
36,20200912,NV,73220.0,564682.0,,476.0,,165.0,,102.0,,1930.0,A+,9/12/2020 02:59,2020-09-12T02:59:00Z,09/11 22:59,1449.0,,2020-09-12T02:59:00Z,931974.0,,,73220.0,,,,637308.0,,,,,,,,,,,32,414,4206,637902,posNeg,637902.0,4620,637902,10,0,7a137b2824c941e985120d5a515ef7a9989d22dc,0,0,0,0,0,,0.11478252145313857,2020-09-12
37,20200912,NY,443640.0,8801985.0,,467.0,89995.0,127.0,,51.0,,75707.0,A,9/11/2020 23:59,2020-09-11T23:59:00Z,09/11 19:59,25384.0,89995.0,2020-09-11T23:59:00Z,,,,443640.0,,,9245625.0,,,,,,,,,,,,36,849,102076,9245625,posNeg,9245625.0,102925,9245625,2,0,0cf0f61afa5b762948ea7155234f87dd4687c02d,0,0,0,0,0,,0.04798377611032245,2020-09-12
38,20200912,OH,136568.0,2430443.0,,626.0,14284.0,216.0,3088.0,127.0,,114066.0,A+,9/12/2020 14:00,2020-09-12T14:00:00Z,09/12 10:00,4411.0,14284.0,2020-09-12T14:00:00Z,2559896.0,,,129453.0,4118.0,293.0,,,,,,,,,,,,,39,1242,46556,2567011,posNeg,2567011.0,47798,2567011,8,48,8bc85984f75ef1204a79cb6f3da1e5baeb9ad68e,0,0,0,0,0,,0.05320117443984463,2020-09-12
39,20200912,OK,68659.0,920176.0,6306.0,499.0,5424.0,186.0,,,,58125.0,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,899.0,5424.0,2020-09-12T00:00:00Z,1000912.0,79689.0,920176.0,68659.0,,,,,74483.0,3581.0,,,,,,,,,40,1017,13067,995141,posNeg,988835.0,14084,988835,11,55,aca682295f17e6e4e9a17a39badc2672c396a68f,0,0,0,0,0,,0.06943423321383244,2020-09-12
40,20200912,OR,29156.0,580948.0,,161.0,2235.0,43.0,,19.0,,5310.0,A+,9/12/2020 03:01,2020-09-12T03:01:00Z,09/11 23:01,505.0,2235.0,2020-09-12T03:01:00Z,,,580948.0,27460.0,,,,604334.0,,,,,,,,,,,41,291,4074,610104,posNeg,610104.0,4365,610104,6,0,4655d0635b53ceb32b28963a2bb876b2ad0eebb7,0,0,0,0,0,,0.047788573751360426,2020-09-12
41,20200912,PA,143805.0,1664000.0,,470.0,,,,63.0,,117920.0,A+,9/12/2020 12:00,2020-09-12T12:00:00Z,09/12 08:00,7837.0,,2020-09-12T12:00:00Z,2535965.0,,,139623.0,,,,1803623.0,,,,,,,,,,,42,920,11972,1807805,posNeg,1807805.0,12892,1807805,0,0,d73f09188e2842ac3eb05167c3f3ac89b2623c54,0,0,0,0,0,,0.07954674314984193,2020-09-12
42,20200912,PR,37092.0,305972.0,,420.0,,71.0,,54.0,,,C,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,535.0,,2020-09-12T00:00:00Z,310546.0,7002.0,303412.0,17598.0,370.0,165.0,,,,19494.0,,,,,,,,,72,511,0,343064,posNeg,343064.0,511,343064,12,0,8d367ef4c3a5f83204365b19423c8398b3a13ec5,0,0,0,0,0,,0.10811976774013012,2020-09-12
